idx name E N U flagged rotation
0 sb01-09 -7.858 14.241 -0.033 False 331.2
1 sb01-10 -11.563 13.298 -0.042 False 331.2
2 sb02-01 -16.061 9.424 -0.063 False 331.2
3 sb02-02 -17.733 7.657 -0.021 False 331.2
4 sb02-03 -14.87 8.074 -0.029 False 331.2
5 sb02-04 -16.622 5.417 -0.055 False 331.2
6 sb02-05 -15.677 3.995 -0.046 False 331.2
7 sb02-06 -14.198 6.002 -0.029 False 331.2
8 sb01-01 -14.305 13.182 -0.015 False 331.2
9 sb01-02 -10.271 12.079 -0.037 False 331.2
10 sb01-03 -11.392 10.661 -0.039 False 331.2
11 sb01-04 -10.003 7.613 -0.041 False 331.2
12 sb01-05 -8.382 8.73 -0.059 False 331.2
13 sb01-06 -9.229 10.473 -0.019 False 331.2
14 sb01-07 -6.415 11.272 -0.001 False 331.2
15 sb01-08 -8.446 12.267 -0.029 False 331.2
16 sb03-04 -15.495 0.035 -0.044 False 331.2
17 sb03-05 -17.15 -0.695 -0.044 False 331.2
18 sb03-06 -13.893 -3.021 -0.046 False 331.2
19 sb03-07 -13.731 -0.068 -0.052 False 331.2
20 sb03-08 -12.222 -3.973 -0.044 False 331.2
21 sb03-09 -12.134 -1.427 -0.036 False 331.2
22 sb03-10 -12.32 1.209 -0.031 False 331.2
23 sb03-11 -14.097 3.094 -0.043 False 331.2
24 sb02-07 -12.737 4.577 -0.046 False 331.2
25 sb02-08 -11.682 6.058 -0.064 False 331.2
26 sb02-09 -11.959 7.852 -0.04 False 331.2
27 sb02-10 -13.626 9.433 -0.036 False 331.2
28 sb02-11 -13.037 11.823 -0.026 False 331.2
29 sb03-01 -17.708 3.332 -0.025 False 331.2
30 sb03-02 -16.298 2.111 -0.055 False 331.2
31 sb03-03 -18.971 -0.443 -0.044 False 331.2
32 sb04-09 -7.686 4.311 -0.044 False 331.2
33 sb04-10 -7.234 6.095 -0.065 False 331.2
34 sb04-11 -9.556 5.635 -0.038 False 331.2
35 sb05-01 -6.483 8.781 -0.016 False 331.2
36 sb05-02 -5.396 6.072 -0.025 False 331.2
37 sb05-03 -5.522 4.116 -0.055 False 331.2
38 sb05-04 -3.891 4.906 -0.017 False 331.2
