idx name E N U flagged rotation
0 sb01-09 -15.36 -5.266 0.025 False 251.3
1 sb01-10 -15.137 -9.047 -0.013 False 251.3
2 sb02-01 -12.157 -14.172 -0.058 False 251.3
3 sb02-02 -10.648 -16.102 -0.026 False 251.3
4 sb02-03 -10.56 -13.212 -0.054 False 251.3
5 sb02-04 -8.248 -15.407 -0.042 True 251.3
6 sb02-05 -6.629 -14.702 -0.029 False 251.3
7 sb02-06 -8.399 -12.913 -0.045 False 251.3
8 sb01-01 -15.501 -11.765 -0.031 False 251.3
9 sb01-02 -13.704 -7.985 -0.029 False 251.3
10 sb01-03 -12.514 -9.296 -0.017 False 251.3
11 sb01-04 -9.239 -8.54 -0.033 False 251.3
12 sb01-05 -10.072 -6.707 -0.027 False 251.3
13 sb01-06 -11.934 -7.282 -0.008 False 251.3
14 sb01-07 -12.239 -4.324 0.012 False 251.3
15 sb01-08 -13.565 -6.196 -0.003 False 251.3
16 sb03-04 -2.76 -15.245 -0.036 False 251.3
17 sb03-05 -2.279 -16.986 -0.02 False 251.3
18 sb03-06 0.54 -14.194 -0.037 False 251.3
19 sb03-07 -2.317 -13.558 -0.046 False 251.3
20 sb03-08 1.782 -12.72 -0.061 False 251.3
21 sb03-09 -0.713 -12.225 -0.041 False 251.3
22 sb03-10 -3.388 -11.963 -0.047 False 251.3
23 sb03-11 -5.505 -13.32 -0.031 False 251.3
24 sb02-07 -6.744 -11.712 -0.039 False 251.3
25 sb02-08 -8.008 -10.463 -0.027 False 251.3
26 sb02-09 -9.83 -10.377 -0.025 False 251.3
27 sb02-10 -11.688 -11.752 -0.019 False 251.3
28 sb02-11 -13.927 -10.758 -0.02 False 251.3
29 sb03-01 -6.444 -16.867 -0.031 False 251.3
30 sb03-02 -4.93 -15.7 -0.023 False 251.3
31 sb03-03 -2.9 -18.73 -0.003 False 251.3
32 sb04-09 -5.551 -6.829 -0.046 False 251.3
33 sb04-10 -7.284 -6.028 -0.027 False 251.3
34 sb04-11 -7.213 -8.436 -0.02 False 251.3
35 sb05-01 -9.782 -4.872 -0.013 False 251.3
36 sb05-02 -6.977 -4.293 -0.034 False 251.3
37 sb05-03 -5.014 -4.743 -0.029 False 251.3
38 sb05-04 -5.506 -2.949 -0.052 False 251.3
39 sb05-05 -4.16 -0.553 -0.041 False 251.3
40 sb04-01 -5.456 -9.115 -0.043 False 251.3
41 sb04-02 -4.901 -10.805 -0.046 False 251.3
42 sb04-03 -1.865 -10.661 -0.049 False 251.3
43 sb04-04 -2.503 -8.925 -0.041 False 251.3
44 sb04-05 -1.457 -7.464 -0.055 False 251.3
45 sb04-06 -1.03 -5.633 -0.032 False 251.3
46 sb04-07 -3.833 -7.358 -0.051 False 251.3
47 sb04-08 -2.926 -4.517 -0.02 False 251.3
48 sb06-04 6.253 -17.984 -0.029 False 251.3
49 sb06-05 6.802 -16.314 -0.046 False 251.3
50 sb06-06 3.432 -16.012 -0.03 False 251.3
51 sb06-07 5.103 -15.032 -0.037 False 251.3
52 sb06-08 5.081 -12.199 -0.042 False 251.3
53 sb06-09 3.472 -11.608 -0.05 False 251.3
54 sb06-10 3.503 -14.189 -0.04 False 251.3
55 sb06-11 1.386 -15.799 -0.039 False 251.3
56 sb05-06 -5.717 0.461 -0.046 False 251.3
57 sb05-07 -7.226 -1.787 -0.061 False 251.3
58 sb05-08 -8.564 -3.034 -0.032 False 251.3
59 sb05-09 -10.459 -0.662 -0.022 False 251.3
60 sb05-10 -10.229 -2.399 0.034 False 251.3
61 sb06-01 1.082 -17.547 -0.029 False 251.3
62 sb06-02 -0.792 -19.062 -0.003 False 251.3
63 sb06-03 3.418 -17.721 -0.038 False 251.3
64 sb07-09 1.993 -5.82 -0.011 False 251.3
65 sb07-10 0.375 -4.624 -0.016 False 251.3
66 sb07-11 0.349 -7.538 -0.052 False 251.3
67 sb08-01 7.314 -12.395 -0.016 False 251.3
68 sb08-02 7.561 -14.527 -0.003 False 251.3
69 sb08-03 9.221 -15.078 -0.005 False 251.3
70 sb08-04 10.52 -13.906 0.037 False 251.3
71 sb08-05 12.478 -13.611 0.035 False 251.3
72 sb07-01 0.569 -9.588 -0.057 False 251.3
73 sb07-02 1.794 -10.867 -0.058 False 251.3
74 sb07-03 2.092 -8.015 -0.05 False 251.3
75 sb07-04 4.322 -9.594 -0.031 False 251.3
76 sb07-05 6.152 -7.648 -0.022 False 251.3
77 sb07-06 3.834 -6.587 -0.013 False 251.3
78 sb07-07 4.483 -4.886 0.018 False 251.3
79 sb07-08 1.974 -2.763 -0.003 False 251.3
80 sb09-04 10.038 -6.189 0.024 False 251.3
81 sb09-05 8.067 -3.15 0.039 False 251.3
82 sb09-06 10.435 -2.825 0.034 False 251.3
83 sb09-07 9.928 -1.043 0.054 False 251.3
84 sb09-08 8.194 -1.366 0.038 False 251.3
85 sb09-09 6.024 -2.255 0.034 False 251.3
86 sb09-10 3.606 -0.9 0.025 False 251.3
87 sb09-11 3.817 -3.087 0.022 False 251.3
88 sb08-06 9.875 -11.524 0.01 True 251.3
89 sb08-07 9.355 -9.796 0.021 False 251.3
90 sb08-08 7.693 -8.775 0.008 True 251.3
91 sb08-09 7.658 -10.579 -0.007 True 251.3
92 sb08-10 6.121 -9.616 -0.014 False 251.3
93 sb09-01 6.359 -4.03 0.039 False 251.3
94 sb09-02 6.01 -5.853 -0.005 False 251.3
95 sb09-03 7.694 -6.609 0.007 False 251.3
96 sb10-09 11.676 -4.152 0.047 False 251.3
97 sb10-10 11.015 -7.704 0.042 False 251.3
