idx name E N U flagged rotation
0 sb01-09 3.866 -15.76 -0.021 False 166.4
1 sb01-10 7.592 -15.843 0.005 False 166.4
2 sb02-01 13.066 -13.347 -0.007 False 166.4
3 sb02-02 15.076 -12.034 -0.001 False 166.4
4 sb02-03 12.266 -11.688 -0.008 False 166.4
5 sb02-04 14.644 -9.623 -0.023 False 166.4
6 sb02-05 14.089 -7.901 -0.024 False 166.4
7 sb02-06 12.107 -9.514 -0.02 False 166.4
8 sb01-01 10.32 -16.479 -0.002 False 166.4
9 sb01-02 6.721 -14.367 -0.0 False 166.4
10 sb01-03 8.176 -13.291 -0.004 False 166.4
11 sb01-04 7.682 -9.953 -0.003 False 166.4
12 sb01-05 5.829 -10.606 0.0 False 166.4
13 sb01-06 6.189 -12.531 -0.006 False 166.4
14 sb01-07 3.265 -12.605 -0.03 False 166.4
15 sb01-08 4.942 -14.007 0.001 False 166.4
16 sb03-04 14.978 -4.087 -0.035 False 166.4
17 sb03-05 16.712 -3.832 0.017 False 166.4
18 sb03-06 14.177 -0.731 0.027 False 166.4
19 sb03-07 13.299 -3.518 0.014 False 166.4
20 sb03-08 12.809 0.635 0.025 False 166.4
21 sb03-09 12.106 -1.801 0.021 False 166.4
22 sb03-10 11.609 -4.432 0.01 False 166.4
23 sb03-11 12.769 -6.674 -0.019 False 166.4
24 sb02-07 11.122 -7.744 -0.001 False 166.4
25 sb02-08 9.699 -8.896 0.012 False 166.4
26 sb02-09 9.462 -10.766 -0.017 False 166.4
27 sb02-10 10.646 -12.636 -0.027 False 166.4
28 sb02-11 9.459 -14.829 0.006 False 166.4
29 sb03-01 16.192 -7.868 -0.004 False 166.4
30 sb03-02 15.205 -6.307 -0.008 False 166.4
31 sb03-03 18.427 -4.549 0.037 False 166.4
32 sb04-09 6.292 -6.122 0.006 False 166.4
33 sb04-10 5.412 -7.776 -0.01 False 166.4
34 sb04-11 7.769 -7.929 0.011 False 166.4
35 sb05-01 3.975 -10.172 -0.033 False 166.4
36 sb05-02 3.648 -7.274 -0.009 False 166.4
37 sb05-03 4.277 -5.435 0.016 False 166.4
38 sb05-04 2.45 -5.746 0.013 False 166.4
39 sb05-05 0.173 -4.181 0.004 False 166.4
40 sb04-01 8.593 -6.246 0.012 False 166.4
41 sb04-02 10.357 -5.815 0.008 False 166.4
42 sb04-03 10.493 -2.795 0.003 False 166.4
43 sb04-04 8.711 -3.275 -0.007 False 166.4
44 sb04-05 7.285 -2.071 -0.002 False 166.4
45 sb04-06 5.495 -1.479 -0.0 False 166.4
46 sb04-07 6.997 -4.512 -0.009 False 166.4
47 sb04-08 4.282 -3.303 0.002 False 166.4
48 sb06-04 18.466 4.612 0.012 False 166.4
49 sb06-05 16.901 5.32 0.011 False 166.4
50 sb06-06 16.251 2.024 0.051 False 166.4
51 sb06-07 15.484 3.737 0.039 False 166.4
52 sb06-08 12.638 3.986 0.025 False 166.4
53 sb06-09 11.873 2.423 0.015 False 166.4
