idx name E N U flagged rotation
0 sb01-09 7.786 14.275 0.074 False 28.8
1 sb01-10 5.033 16.873 0.078 False 28.8
2 sb02-01 -0.635 18.651 0.049 False 28.8
3 sb02-02 -3.061 19.069 0.036 False 28.8
4 sb02-03 -1.166 16.878 0.041 False 28.8
5 sb02-04 -4.325 16.95 -0.024 False 28.8
6 sb02-05 -5.047 15.343 -0.03 False 28.8
7 sb02-06 -2.529 15.215 0.022 False 28.8
8 sb01-01 3.484 19.152 0.087 False 28.8
9 sb01-02 4.703 15.162 0.061 False 28.8
10 sb01-03 2.919 15.349 0.047 False 28.8
11 sb01-04 1.008 12.511 0.048 False 28.8
12 sb01-05 2.853 11.791 0.007 False 28.8
13 sb01-06 3.929 13.418 0.05 False 28.8
14 sb01-07 6.123 11.472 0.045 False 28.8
15 sb01-08 5.8 13.701 0.058 False 28.8
16 sb03-04 -8.289 13.086 -0.068 False 28.8
17 sb03-05 -9.792 14.093 -0.032 False 28.8
18 sb03-06 -9.991 10.128 -0.035 False 28.8
19 sb03-07 -7.421 11.574 -0.035 False 28.8
20 sb03-08 -9.938 8.171 -0.027 False 28.8
21 sb03-09 -7.695 9.495 -0.038 False 28.8
22 sb03-10 -5.608 11.086 -0.012 False 28.8
23 sb03-11 -4.943 13.571 -0.028 False 28.8
24 sb02-07 -2.981 13.239 0.052 False 28.8
25 sb02-08 -1.189 13.104 0.037 False 28.8
26 sb02-09 0.244 14.306 0.062 False 28.8
27 sb02-10 0.663 16.543 0.046 False 28.8
28 sb02-11 2.983 17.311 0.049 False 28.8
29 sb03-01 -6.675 16.71 -0.048 False 28.8
30 sb03-02 -6.991 14.939 -0.027 False 28.8
31 sb03-03 -10.536 15.761 -0.06 False 28.8
32 sb04-09 -0.53 8.787 0.019 False 28.8
33 sb04-10 1.268 9.34 0.046 False 28.8
34 sb04-11 -0.349 11.094 0.034 False 28.8
35 sb05-01 3.935 10.211 0.044 False 28.8
36 sb05-02 2.205 7.838 0.013 False 28.8
37 sb05-03 0.501 6.908 0.011 False 28.8
38 sb05-04 2.058 5.884 0.026 False 28.8
39 sb05-05 2.681 3.242 0.028 False 28.8
40 sb04-01 -2.145 10.424 -0.011 False 28.8
41 sb04-02 -3.713 11.293 -0.013 False 28.8
42 sb04-03 -5.893 9.128 -0.019 False 28.8
43 sb04-04 -4.181 8.307 -0.032 False 28.8
44 sb04-05 -3.995 6.476 -0.022 False 28.8
45 sb04-06 -3.068 4.817 -0.009 False 28.8
46 sb04-07 -2.156 8.029 -0.034 False 28.8
47 sb04-08 -0.936 5.349 -0.081 False 28.8
48 sb06-04 -16.775 9.036 0.024 False 28.8
49 sb06-05 -16.029 7.471 -0.021 False 28.8
50 sb06-06 -13.338 9.477 0.016 False 28.8
51 sb06-07 -13.949 7.635 -0.02 False 28.8
52 sb06-08 -12.053 5.559 -0.019 False 28.8
53 sb06-09 -10.418 6.207 -0.023 False 28.8
54 sb06-10 -12.152 8.072 -0.013 False 28.8
55 sb06-11 -11.706 10.733 -0.023 False 28.8
56 sb05-06 4.523 3.516 0.07 False 28.8
57 sb05-07 4.135 6.235 0.067 False 28.8
58 sb05-08 4.271 8.029 0.014 False 28.8
59 sb05-09 7.255 7.519 0.035 False 28.8
60 sb05-10 5.932 8.657 0.031 False 28.8
61 sb06-01 -12.648 12.241 -0.014 False 28.8
