idx name E N U flagged rotation
0 sb01-09 16.042 2.467 0.011 False 81.4
1 sb01-10 16.477 6.215 -0.0 False 81.4
2 sb02-01 14.425 11.832 0.06 False 81.4
3 sb02-02 13.279 13.99 0.017 False 81.4
4 sb02-03 12.748 11.184 0.062 False 81.4
5 sb02-04 10.842 13.744 -0.022 False 81.4
6 sb02-05 9.08 13.329 -0.005 False 81.4
7 sb02-06 10.524 11.21 0.034 False 81.4
8 sb01-01 17.294 8.87 0.063 False 81.4
9 sb01-02 14.923 5.478 0.009 False 81.4
10 sb01-03 13.938 6.962 0.03 False 81.4
11 sb01-04 10.585 6.768 0.034 False 81.4
12 sb01-05 11.058 4.902 0.038 False 81.4
13 sb01-06 13.012 5.049 0.036 False 81.4
14 sb01-07 12.796 2.125 0.026 False 81.4
15 sb01-08 14.422 3.687 0.027 False 81.4
16 sb03-04 5.411 14.562 0.017 False 81.4
17 sb03-05 5.255 16.301 0.019 False 81.4
18 sb03-06 1.981 14.089 0.009 False 81.4
19 sb03-07 4.68 12.914 0.032 False 81.4
20 sb03-08 0.458 12.797 0.008 False 81.4
21 sb03-09 2.868 11.881 0.031 False 81.4
22 sb03-10 5.409 11.161 0.043 False 81.4
23 sb03-11 7.737 12.17 0.026 False 81.4
24 sb02-07 8.721 10.376 0.058 False 81.4
25 sb02-08 9.692 8.914 0.027 False 81.4
26 sb02-09 11.532 8.471 0.026 False 81.4
27 sb02-10 13.553 9.535 0.058 False 81.4
28 sb02-11 15.617 8.167 0.04 False 81.4
29 sb03-01 9.271 15.487 -0.014 False 81.4
30 sb03-02 7.627 14.637 0.019 False 81.4
31 sb03-03 6.162 17.954 0.013 False 81.4
32 sb04-09 6.684 5.721 0.035 False 81.4
33 sb04-10 8.156 4.672 0.004 False 81.4
34 sb04-11 8.583 7.011 0.071 False 81.4
35 sb05-01 10.519 3.105 0.008 False 81.4
36 sb05-02 7.548 3.021 0.013 False 81.4
37 sb05-03 5.805 3.82 0.045 False 81.4
38 sb05-04 5.943 1.957 0.046 False 81.4
39 sb05-05 4.181 -0.177 0.015 False 81.4
40 sb04-01 6.948 7.99 0.029 False 81.4
41 sb04-02 6.682 9.822 0.037 False 81.4
42 sb04-03 3.689 10.18 0.035 False 81.4
43 sb04-04 4.018 8.366 0.031 False 81.4
44 sb04-05 2.733 7.109 0.033 False 81.4
45 sb04-06 1.981 5.376 0.03 False 81.4
46 sb04-07 5.078 6.583 0.063 False 81.4
47 sb04-08 3.649 3.998 0.036 False 81.4
48 sb06-04 -3.026 18.819 0.005 False 81.4
49 sb06-05 -3.822 17.316 0.02 False 81.4
50 sb06-06 -0.589 16.346 -0.0 False 81.4
51 sb06-07 -2.408 15.712 0.009 False 81.4
52 sb06-08 -2.904 12.898 0.019 False 81.4
53 sb06-09 -1.404 12.06 -0.012 False 81.4
54 sb06-10 -0.967 14.56 -0.009 False 81.4
55 sb06-11 1.426 15.771 -0.023 False 81.4
56 sb05-06 5.535 -1.46 0.017 False 81.4
57 sb05-07 7.465 0.519 0.032 False 81.4
58 sb05-08 8.949 1.5 0.047 False 81.4
59 sb05-09 10.414 -1.231 0.016 False 81.4
60 sb05-10 10.505 0.575 0.036 False 81.4
61 sb06-01 2.026 17.488 0.01 False 81.4
62 sb06-02 4.09 18.608 0.02 False 81.4
63 sb06-03 -0.221 18.061 -0.019 False 81.4
64 sb07-09 -0.97 6.091 0.007 False 81.4
65 sb07-10 0.419 4.638 0.032 False 81.4
66 sb07-11 1.012 7.495 0.03 False 81.4
67 sb08-01 -5.045 13.484 0.046 False 81.4
68 sb08-02 -4.88 15.644 0.057 False 81.4
69 sb08-03 -6.413 16.47 0.031 False 81.4
70 sb08-04 -7.951 15.584 0.047 False 81.4
71 sb08-05 -9.873 15.589 0.029 False 81.4
72 sb07-01 1.111 9.502 -0.004 False 81.4
73 sb07-02 0.103 11.02 0.001 False 81.4
74 sb07-03 -0.67 8.214 0.033 False 81.4
75 sb07-04 -2.598 10.208 -0.003 False 81.4
76 sb07-05 -4.673 8.58 0.034 False 81.4
77 sb07-06 -2.64 7.162 0.033 False 81.4
78 sb07-07 -3.57 5.602 0.001 False 81.4
79 sb07-08 -1.481 3.08 0.049 False 81.4
80 sb09-04 -8.806 7.85 -0.019 False 81.4
81 sb09-05 -7.405 4.515 -0.001 False 81.4
82 sb09-06 -9.742 4.611 0.022 False 81.4
83 sb09-07 -9.624 2.749 -0.008 False 81.4
84 sb09-08 -7.806 2.767 0.013 False 81.4
85 sb09-09 -5.503 3.274 0.033 False 81.4
86 sb09-10 -3.364 1.48 0.015 False 81.4
87 sb09-11 -3.188 3.728 0.02 False 81.4
88 sb08-06 -7.728 13.082 0.012 False 81.4
89 sb08-07 -7.514 11.29 0.023 False 81.4
90 sb08-08 -6.008 9.943 0.015 False 81.4
91 sb08-09 -5.666 11.763 0.037 False 81.4
92 sb08-10 -4.322 10.555 0.028 False 81.4
93 sb09-01 -5.525 5.098 0.023 False 81.4
94 sb09-02 -4.91 6.815 0.008 False 81.4
95 sb09-03 -6.39 7.86 -0.031 False 81.4
96 sb10-09 -10.734 6.09 -0.011 False 81.4
