idx name E N U flagged rotation
0 sb01-09 -16.189 -0.972 -0.048 False 266.7
1 sb01-10 -16.944 -4.669 -0.07 False 266.7
2 sb02-01 -15.477 -10.413 -0.058 False 266.7
3 sb02-02 -14.55 -12.672 -0.088 False 266.7
4 sb02-03 -13.701 -9.976 -0.046 False 266.7
5 sb02-04 -12.048 -12.636 -0.062 False 266.7
6 sb02-05 -10.307 -12.429 -0.078 False 266.7
7 sb02-06 -11.53 -10.202 -0.027 False 266.7
8 sb01-01 -18.054 -7.198 -0.056 False 266.7
9 sb01-02 -15.325 -4.044 -0.049 False 266.7
10 sb01-03 -14.542 -5.665 -0.037 False 266.7
11 sb01-04 -11.177 -5.776 -0.034 False 266.7
12 sb01-05 -11.482 -3.832 -0.03 False 266.7
13 sb01-06 -13.444 -3.836 -0.035 False 266.7
14 sb01-07 -12.974 -0.962 -0.04 False 266.7
15 sb01-08 -14.657 -2.345 -0.039 False 266.7
16 sb03-04 -6.733 -14.0 -0.036 False 266.7
17 sb03-05 -6.78 -15.748 -0.026 False 266.7
18 sb03-06 -3.266 -13.849 -0.011 False 266.7
19 sb03-07 -5.861 -12.437 -0.031 False 266.7
20 sb03-08 -1.683 -12.701 -0.043 False 266.7
21 sb03-09 -3.952 -11.579 -0.048 False 266.7
22 sb03-10 -6.395 -10.63 -0.066 False 266.7
23 sb03-11 -8.865 -11.408 -0.067 False 266.7
24 sb02-07 -9.617 -9.54 -0.049 False 266.7
25 sb02-08 -10.496 -7.982 -0.039 False 266.7
26 sb02-09 -12.234 -7.387 -0.031 False 266.7
27 sb02-10 -14.392 -8.213 -0.028 False 266.7
28 sb02-11 -16.282 -6.696 -0.058 False 266.7
29 sb03-01 -10.655 -14.526 -0.033 False 266.7
30 sb03-02 -8.94 -13.82 -0.037 False 266.7
31 sb03-03 -7.799 -17.268 -0.035 False 266.7
32 sb04-09 -7.14 -5.096 -0.013 False 266.7
33 sb04-10 -8.613 -3.91 -0.019 False 266.7
34 sb04-11 -9.195 -6.153 -0.025 False 266.7
35 sb05-01 -10.725 -2.13 -0.047 False 266.7
36 sb05-02 -7.809 -2.273 -0.02 False 266.7
37 sb05-03 -6.146 -3.217 -0.012 False 266.7
38 sb05-04 -6.102 -1.36 0.003 False 266.7
39 sb05-05 -4.144 0.547 -0.001 False 266.7
40 sb04-01 -7.676 -7.332 -0.044 False 266.7
41 sb04-02 -7.583 -9.123 -0.054 False 266.7
42 sb04-03 -4.648 -9.81 -0.044 False 266.7
43 sb04-04 -4.787 -7.973 -0.037 False 266.7
44 sb04-05 -3.351 -6.818 -0.016 False 266.7
45 sb04-06 -2.442 -5.181 -0.007 False 266.7
46 sb04-07 -5.647 -6.054 -0.024 False 266.7
47 sb04-08 -4.019 -3.597 -0.008 False 266.7
48 sb06-04 1.216 -18.978 0.014 False 266.7
49 sb06-05 2.186 -17.572 -0.005 False 266.7
50 sb06-06 -0.929 -16.342 0.009 False 266.7
51 sb06-07 0.948 -15.886 0.001 False 266.7
52 sb06-08 1.71 -13.129 0.023 False 266.7
53 sb06-09 0.293 -12.095 -0.012 False 266.7
54 sb06-10 -0.375 -14.584 -0.01 False 266.7
55 sb06-11 -2.869 -15.58 -0.015 False 266.7
56 sb05-06 -5.339 1.998 -0.015 False 266.7
57 sb05-07 -7.445 0.21 -0.019 False 266.7
58 sb05-08 -9.046 -0.672 -0.003 False 266.7
59 sb05-09 -10.251 2.166 -0.01 False 266.7
60 sb05-10 -10.509 0.442 -0.016 False 266.7
61 sb06-01 -3.647 -17.187 -0.014 False 266.7
62 sb06-02 -5.798 -18.107 -0.011 False 266.7
63 sb06-03 -1.454 -18.011 -0.002 False 266.7
64 sb07-09 0.386 -6.127 0.035 False 266.7
65 sb07-10 -0.87 -4.594 0.015 False 266.7
66 sb07-11 -1.669 -7.346 -0.005 False 266.7
67 sb08-01 3.749 -13.909 0.021 False 266.7
68 sb08-02 3.397 -15.989 0.019 False 266.7
69 sb08-03 4.868 -16.957 0.023 False 266.7
70 sb08-04 6.431 -16.214 0.038 False 266.7
71 sb08-05 8.35 -16.417 0.027 False 266.7
72 sb07-01 -1.967 -9.358 -0.007 False 266.7
73 sb07-02 -1.173 -10.929 -0.001 False 266.7
74 sb07-03 -0.119 -8.254 -0.031 False 266.7
75 sb07-04 1.603 -10.383 -0.007 False 266.7
76 sb07-05 3.831 -9.031 0.018 False 266.7
77 sb07-06 1.997 -7.394 0.021 False 266.7
78 sb07-07 3.022 -5.911 0.05 False 266.7
79 sb07-08 1.218 -3.206 0.04 False 266.7
80 sb09-04 7.983 -8.606 0.011 False 266.7
81 sb09-05 6.94 -5.188 0.034 False 266.7
82 sb09-06 9.26 -5.468 0.05 False 266.7
83 sb09-07 9.309 -3.658 0.029 False 266.7
84 sb09-08 7.567 -3.488 0.093 False 266.7
85 sb09-09 5.202 -3.726 0.053 False 266.7
