J2000_NAME,B1950_NAME,PC_J2000,PC_B1950,RA_J2000,DEC_J2000,POS_REF,ALT_NAME,BAND,A,B,C,D,FLUX_JY,UVMIN_kL,UVMAX_kL
0424+020,0421+019,A,A,04h24m08.562028s,"02d04'24.964950""",Aug01,None,0.7cm,Q,W,W,W,0.2,None,None
0424-379,0422-380,A,A,04h24m42.243727s,"-37d56'20.784230""",Aug01,None,20cm,L,S,S,X,0.44,25,None
0424-379,0422-380,A,A,04h24m42.243727s,"-37d56'20.784230""",Aug01,None,6cm,C,P,P,S,0.92,None,None
0424-379,0422-380,A,A,04h24m42.243727s,"-37d56'20.784230""",Aug01,None,3.7cm,X,P,P,P,1.55,None,None
0424-379,0422-380,A,A,04h24m42.243727s,"-37d56'20.784230""",Aug01,None,2cm,U,P,P,P,1.30,None,None
0424-379,0422-380,A,A,04h24m42.243727s,"-37d56'20.784230""",Aug01,None,0.7cm,Q,S,S,S,1.4,None,None
0424+006,0422+004,A,A,04h24m46.842052s,"00d36'06.329830""",Aug01,None,20cm,L,P,S,X,0.60,25,None
0424+006,0422+004,A,A,04h24m46.842052s,"00d36'06.329830""",Aug01,None,6cm,C,S,S,S,0.65,None,None
0424+006,0422+004,A,A,04h24m46.842052s,"00d36'06.329830""",Aug01,None,3.7cm,X,S,S,S,0.64,None,None
0424+006,0422+004,A,A,04h24m46.842052s,"00d36'06.329830""",Aug01,None,2cm,U,S,S,S,0.6,None,None
0424+006,0422+004,A,A,04h24m46.842052s,"00d36'06.329830""",Aug01,None,0.7cm,Q,W,W,W,0.6,None,None
0425+179,0422+178,C,C,04h25m24.4626s,"17d55'25.122""",None,None,20cm,L,X,S,S,0.82,6,30
0425+179,0422+178,C,C,04h25m24.4626s,"17d55'25.122""",None,None,6cm,C,X,X,S,0.30,30,None
0425+179,0422+178,C,C,04h25m24.4626s,"17d55'25.122""",None,None,3.7cm,X,X,X,X,0.18,None,None
0426+053,0423+051,A,A,04h26m36.604102s,"05d18'19.872040""",Aug01,None,20cm,L,X,X,X,0.70,None,None
0426+053,0423+051,A,A,04h26m36.604102s,"05d18'19.872040""",Aug01,None,6cm,C,S,S,S,0.56,None,None
0426+053,0423+051,A,A,04h26m36.604102s,"05d18'19.872040""",Aug01,None,3.7cm,X,S,S,S,0.50,None,None
0426+053,0423+051,A,A,04h26m36.604102s,"05d18'19.872040""",Aug01,None,0.7cm,Q,W,W,W,0.2,None,None
0426+684,0421+683,B,B,04h26m50.0654s,"68d25'52.955""",Mar02,JVAS,0.7cm,Q,W,W,W,0.12,None,None
0426+579,0422+578,T,T,04h26m53.0900s,"57d55'09.400""",Feb00,None,20cm,L,X,X,S,0.6,3,None
