J2000_NAME,B1950_NAME,PC_J2000,PC_B1950,RA_J2000,DEC_J2000,POS_REF,ALT_NAME,BAND,A,B,C,D,FLUX_JY,UVMIN_kL,UVMAX_kL
0345+148,0342+147,A,A,03h45m06.416546s,"14d53'49.558180""",Aug01,None,20cm,L,W,W,X,0.34,6,None
0345+148,0342+147,A,A,03h45m06.416546s,"14d53'49.558180""",Aug01,None,6cm,C,W,W,W,0.44,None,None
0345+148,0342+147,A,A,03h45m06.416546s,"14d53'49.558180""",Aug01,None,3.7cm,X,S,S,S,0.69,None,None
0345+148,0342+147,A,A,03h45m06.416546s,"14d53'49.558180""",Aug01,None,2cm,U,W,W,W,0.40,None,None
0345+148,0342+147,A,A,03h45m06.416546s,"14d53'49.558180""",Aug01,None,0.7cm,Q,W,W,W,0.3,None,None
0346+540,0342+538,B,B,03h46m34.5041s,"54d00'59.100""",None,GVAR,6cm,C,S,S,S,0.15,None,None
0346+540,0342+538,B,B,03h46m34.5041s,"54d00'59.100""",None,GVAR,4cm,X,S,S,S,0.15,None,None
0346+540,0342+538,B,B,03h46m34.5041s,"54d00'59.100""",None,GVAR,1.3cm,K,W,W,W,0.1,None,None
0346+540,0342+538,B,B,03h46m34.5041s,"54d00'59.100""",None,GVAR,0.7cm,Q,W,W,W,0.1,None,None
0347+236,0344+235,B,B,03h47m57.1109s,"23d39'55.341""",Dec01,JVAS,0.7cm,Q,W,W,W,0.15,None,None
0348-278,0346-279,A,A,03h48m38.144561s,"-27d49'13.565300""",Aug01,None,20cm,L,X,X,X,0.80,None,None
0348-278,0346-279,A,A,03h48m38.144561s,"-27d49'13.565300""",Aug01,None,6cm,C,S,S,X,1.25,50,None
0348-278,0346-279,A,A,03h48m38.144561s,"-27d49'13.565300""",Aug01,None,3.7cm,X,P,P,P,1.78,None,None
0348-278,0346-279,A,A,03h48m38.144561s,"-27d49'13.565300""",Aug01,None,2cm,U,P,P,P,2.2,None,None
0348-278,0346-279,A,A,03h48m38.144561s,"-27d49'13.565300""",Aug01,None,0.7cm,Q,S,S,S,1.4,None,None
0348+338,0345+337,T,T,03h48m46.9045s,"33d53'14.965""",None,3C93.1,90cm,P,S,S,S,8,1,None
0348+338,0345+337,T,T,03h48m46.9045s,"33d53'14.965""",None,3C93.1,20cm,L,X,S,S,2.25,45,None
0348+338,0345+337,T,T,03h48m46.9045s,"33d53'14.965""",None,3C93.1,6cm,C,X,X,S,0.74,45,None
0348+338,0345+337,T,T,03h48m46.9045s,"33d53'14.965""",None,3C93.1,2cm,U,X,X,X,0.20,None,None
0349+461,0345+460,A,A,03h49m18.741557s,"46d09'59.658150""",Aug01,None,20cm,L,S,S,S,0.88,4,None
0349+461,0345+460,A,A,03h49m18.741557s,"46d09'59.658150""",Aug01,None,6cm,C,P,P,P,1.0,None,None
0349+461,0345+460,A,A,03h49m18.741557s,"46d09'59.658150""",Aug01,None,3.7cm,X,P,P,P,1.0,None,None
0349+461,0345+460,A,A,03h49m18.741557s,"46d09'59.658150""",Aug01,None,2cm,U,P,P,P,0.9,None,None
0349+461,0345+460,A,A,03h49m18.741557s,"46d09'59.658150""",Aug01,None,0.7cm,Q,W,W,W,0.6,None,None
0354+663,0349+662,B,B,03h54m03.7010s,"66d21'26.112""",Nov02,JVAS,0.7cm,Q,W,W,W,0.14,None,None
0355+391,0351+390,B,B,03h55m16.5912s,"39d09'09.824""",Mar02,JVAS,0.7cm,Q,W,W,W,0.19,None,None
0356+607,0352+605,B,B,03h56m25.1996s,"60d43'57.972""",Nov02,JVAS,0.7cm,Q,W,W,W,0.16,None,None
0358+561,0354+559,C,C,03h58m30.1793s,"56d06'44.493""",Oct01,VERA,3.7cm,X,P,P,P,0.62,None,None
0358+561,0354+559,C,C,03h58m30.1793s,"56d06'44.493""",Oct01,VERA,0.7cm,Q,W,W,W,0.31,None,None
0354+467,0350+465,A,A,03h54m30.011634s,"46d43'18.750530""",Aug01,None,20cm,L,S,S,S,0.73,6,None
0354+467,0350+465,A,A,03h54m30.011634s,"46d43'18.750530""",Aug01,None,6cm,C,S,S,S,0.66,None,None
0354+467,0350+465,A,A,03h54m30.011634s,"46d43'18.750530""",Aug01,None,3.7cm,X,S,S,S,0.63,None,None
0354+467,0350+465,A,A,03h54m30.011634s,"46d43'18.750530""",Aug01,None,2cm,U,S,S,S,0.60,None,None
0354+467,0350+465,A,A,03h54m30.011634s,"46d43'18.750530""",Aug01,None,0.7cm,Q,W,W,W,0.6,None,None
0354+801,0346+800,B,B,03h54m46.1258s,"80d09'28.816""",Mar02,JVAS,0.7cm,Q,W,W,W,0.17,None,None
0354+729,0349+727,T,T,03h54m54.9926s,"72d54'38.451""",None,None,90cm,P,X,S,S,7,1.3,4
0354+729,0349+727,T,T,03h54m54.9926s,"72d54'38.451""",None,None,20cm,L,X,X,X,1.55,4,None
0354+801,0346+800,B,B,03h54m46.125943s,"80d09'28.847710""",Aug01,CJ2,20cm,L,X,X,X,0.60,None,None
0354+801,0346+800,B,B,03h54m46.125943s,"80d09'28.847710""",Aug01,CJ2,6cm,C,X,X,X,0.45,30,None
0354+801,0346+800,B,B,03h54m46.125943s,"80d09'28.847710""",Aug01,CJ2,3.7cm,X,X,X,X,0.37,30,None
0356+290,0353+289,B,B,03h56m08.4601s,"29d03'42.277""",Dec01,JVAS,0.7cm,Q,W,W,W,0.17,None,None
0357+233,0354+231,A,A,03h57m21.609873s,"23d19'53.826090""",Aug01,None,2cm,U,S,S,S,0.80,None,None
