name,ra_str,dec_str,flux_jy,epoch
0739+703,07h39m23.6847s,"70d23'11.739""",2.5000,J2000
0841+708,08h41m24.365281s,"70d53'42.173090""",4.0000,J2000
1101+724,11h01m48.805364s,"72d25'37.118280""",1.1900,J2000
1459+716,14h59m07.583867s,"71d40'19.867740""",7.6000,J2000
2009+724,20h09m52.303874s,"72d29'19.351050""",1.2000,J2000
2250+714,22h50m32.5870s,"71d29'19.060""",1.5000,J2000
