iau_name,ra_str,dec_str,pos_code,pos_ref,alt_name,epoch,flux_P_jy,flux_L_jy,flux_C_jy,flux_X_jy,flux_U_jy,flux_K_jy,flux_Q_jy,struct_L_A,struct_L_B,struct_L_C,struct_L_D
0806-268,08h06m12.722573s,"-26d52'33.307830""",A,Aug01,,J2000,,,,,,,,,,,
0808-078,08h08m15.536036s,"-07d51'09.886340""",A,Aug01,,J2000,,,,,,,,,,,
0814-356,08h14m14.6463s,"-35d38'25.593""",T,,,J2000,,,,,,,,,,,
0815-031,08h15m27.8340s,"-03d08'26.847""",T,3C196,.1,J2000,,,,,,,,,,,
0820-129,08h20m57.447616s,"-12d58'59.169490""",A,Aug01,,J2000,,,,,,,,,,,
0826-225,08h26m01.572909s,"-22d30'27.202110""",A,Aug01,,J2000,,,,,,,,,,,
0827-204,08h27m17.2081s,"-20d26'21.716""",T,,,J2000,,,,,,,,,,,
0828-375,08h28m04.780268s,"-37d31'06.280640""",A,Aug01,,J2000,,,,,,,,,,,
0835-451,08h35m20.655175s,"-45d10'35.153252""",A,USNO,,J2000,,,,,,,,,,,
0836-202,08h36m39.215215s,"-20d16'59.503500""",A,Aug01,,J2000,,,,,,,,,,,
0837-198,08h37m11.1820s,"-19d51'56.810""",T,,,J2000,,,,,,,,,,,
0846-261,08h46m00.733855s,"-26d10'54.155700""",B,Aug01,,J2000,,,,,,,,,,,
0853-207,08h53m00.2659s,"-20d47'28.094""",T,,,J2000,,,,,,,,,,,
0900-281,09h00m40.0390s,"-28d08'20.350""",C,May02,,J2000,,,,,,,,,,,
0902-142,09h02m16.830907s,"-14d15'30.875380""",A,Aug01,,J2000,,,,,,,,,,,
0921-263,09h21m29.353874s,"-26d18'43.386040""",B,Aug01,,J2000,,,,,,,,,,,
0922-399,09h22m46.418268s,"-39d59'35.067510""",A,Aug01,,J2000,,,,,,,,,,,
0927-205,09h27m51.824323s,"-20d34'51.232660""",A,Aug01,,J2000,,,,,,,,,,,
0943-083,09h43m36.944364s,"-08d19'30.812400""",B,Aug01,,J2000,,,,,,,,,,,
1001-446,10h01m59.908051s,"-44d38'00.603130""",B,Aug01,,J2000,,,,,,,,,,,
1007-021,10h07m04.349917s,"-02d07'10.917720""",A,Aug01,,J2000,,,,,,,,,,,
1018-317,10h18m09.2675s,"-31d44'13.983""",C,Dec99,,J2000,,,,,,,,,,,
1018-313,10h18m28.7520s,"-31d23'53.878""",C,,,J2000,,,,,,,,,,,
1020-428,10h20m03.3547s,"-42d51'41.536""",T,,,J2000,,,,,,,,,,,
1024-008,10h24m29.586611s,"-00d52'55.497850""",B,Aug01,,J2000,,,,,,,,,,,
1033-343,10h33m13.0866s,"-34d18'45.424""",T,,,J2000,,,,,,,,,,,
1035-201,10h35m02.155274s,"-20d11'34.359750""",A,Aug01,,J2000,,,,,,,,,,,
1037-295,10h37m16.079734s,"-29d34'02.813220""",B,Aug01,,J2000,,,,,,,,,,,
1039-156,10h39m06.705086s,"-15d41'06.691840""",A,Aug01,,J2000,,,,,,,,,,,
1048-191,10h48m06.620606s,"-19d09'35.726950""",A,Aug01,,J2000,,,,,,,,,,,
1048-412,10h48m38.2710s,"-41d14'00.080""",C,May02,,J2000,,,,,,,,,,,
1051-316,10h51m04.777538s,"-31d38'14.307410""",A,Aug01,,J2000,,,,,,,,,,,
1057-245,10h57m55.410047s,"-24d33'48.871750""",C,Aug01,,J2000,,,,,,,,,,,
1103-328,11h03m31.526418s,"-32d51'16.691690""",A,Aug01,,J2000,,,,,,,,,,,
1106-211,11h06m22.3200s,"-21d08'59.642""",T,,,J2000,,,,,,,,,,,
1107-448,11h07m08.694135s,"-44d49'07.618440""",B,Aug01,,J2000,,,,,,,,,,,
1112-219,11h12m49.848703s,"-21d58'29.351860""",B,Aug01,,J2000,,,,,,,,,,,
1118-465,11h18m26.957594s,"-46d34'15.001700""",A,Aug01,,J2000,,,,,,,,,,,
1119-030,11h19m25.3000s,"-03d02'51.320""",T,3C255,,J2000,,,,,,,,,,,
1120-251,11h20m09.120788s,"-25d08'07.608300""",C,Aug01,,J2000,,,,,,,,,,,
1127-189,11h27m04.392448s,"-18d57'17.441660""",A,Aug01,,J2000,,,,,,,,,,,
1130-148,11h30m07.052580s,"-14d49'27.388160""",A,Aug01,,J2000,,,,,,,,,,,
1131-050,11h31m30.516732s,"-05d00'19.657360""",A,Aug01,,J2000,,,,,,,,,,,
1139-138,11h39m10.702580s,"-13d50'43.639870""",A,Aug01,,J2000,,,,,,,,,,,
1142-116,11h42m35.0059s,"-11d41'47.838""",T,,,J2000,,,,,,,,,,,
1145-228,11h45m22.046820s,"-22d50'31.342980""",A,Aug01,,J2000,,,,,,,,,,,
