iau_name,ra_str,dec_str,pos_code,pos_ref,alt_name,epoch,flux_P_jy,flux_L_jy,flux_C_jy,flux_X_jy,flux_U_jy,flux_K_jy,flux_Q_jy,struct_L_A,struct_L_B,struct_L_C,struct_L_D
2219-279,22h19m40.9420s,"-27d56'26.860""",T,,,J2000,,,,,,,,,,,
2225-049,22h25m47.259291s,"-04d57'01.390730""",A,Aug01,3C446,J2000,,,,,,,,,,,
2229-085,22h29m40.084346s,"-08d32'54.435410""",A,Aug01,,J2000,,,,,,,,,,,
2230-397,22h30m40.278593s,"-39d42'52.067240""",A,Aug01,,J2000,,,,,,,,,,,
2236-145,22h36m34.087168s,"-14d33'22.189590""",A,Aug01,,J2000,,,,,,,,,,,
2243-257,22h43m26.408781s,"-25d44'30.687300""",A,Aug01,,J2000,,,,,,,,,,,
2246-121,22h46m18.231976s,"-12d06'51.277340""",A,Aug01,,J2000,,,,,,,,,,,
2248-325,22h48m38.685732s,"-32d35'52.187830""",A,Aug01,,J2000,,,,,,,,,,,
2255-087,22h55m04.239787s,"-08d44'04.021710""",A,Aug01,,J2000,,,,,,,,,,,
2257-364,22h57m10.6141s,"-36d27'43.710""",C,Jan00,,J2000,,,,,,,,,,,
2258-279,22h58m05.962888s,"-27d58'21.256750""",B,Aug01,,J2000,,,,,,,,,,,
2302-373,23h02m23.890588s,"-37d18'06.842000""",C,Aug01,,J2000,,,,,,,,,,,
2303-305,23h03m05.821190s,"-30d30'11.473180""",B,Aug01,,J2000,,,,,,,,,,,
2307-415,23h07m54.3358s,"-41d32'42.812""",T,,,J2000,,,,,,,,,,,
2314-449,23h14m09.382807s,"-44d55'49.237720""",B,Aug01,,J2000,,,,,,,,,,,
2314-316,23h14m48.500631s,"-31d38'39.526510""",A,Aug01,,J2000,,,,,,,,,,,
2321-163,23h21m01.9589s,"-16d23'05.187""",T,,,J2000,,,,,,,,,,,
2323-032,23h23m31.953757s,"-03d17'05.023800""",A,Aug01,,J2000,,,,,,,,,,,
2324-372,23h24m07.1120s,"-37d14'22.424""",C,Jan00,,J2000,,,,,,,,,,,
2325-121,23h25m19.7730s,"-12d07'27.091""",T,,,J2000,,,,,,,,,,,
2326-404,23h26m34.1409s,"-40d27'15.159""",T,,,J2000,,,,,,,,,,,
2327-147,23h27m47.964268s,"-14d47'55.750680""",A,Aug01,,J2000,,,,,,,,,,,
2331-159,23h31m38.652436s,"-15d56'57.009520""",A,Aug01,,J2000,,,,,,,,,,,
2331-381,23h31m59.476115s,"-38d11'47.650530""",A,Aug01,,J2000,,,,,,,,,,,
2333-237,23h33m55.237807s,"-23d43'40.657990""",A,Aug01,,J2000,,,,,,,,,,,
2337-025,23h37m57.339089s,"-02d30'57.629370""",A,Aug01,,J2000,,,,,,,,,,,
2339-331,23h39m54.5330s,"-33d10'16.900""",C,Dec00,,J2000,,,,,,,,,,,
2341-351,23h41m45.8910s,"-35d06'22.130""",T,,,J2000,,,,,,,,,,,
2348-165,23h48m02.608516s,"-16d31'12.022020""",B,Aug01,,J2000,,,,,,,,,,,
2354-152,23h54m30.195190s,"-15d13'11.213010""",A,Aug01,,J2000,,,,,,,,,,,
2357-114,23h57m31.197570s,"-11d25'39.176340""",A,Aug01,,J2000,,,,,,,,,,,
2358-103,23h58m10.882409s,"-10d20'08.611260""",A,Aug01,,J2000,,,,,,,,,,,
2359-315,23h59m35.4940s,"-31d33'43.820""",C,Jan00,,J2000,,,,,,,,,,,
