idx name E N U flagged rotation
0 sb01-09 13.457 9.085 0.058 False 56.1
1 sb01-10 12.221 12.658 0.035 False 56.1
2 sb02-01 7.964 16.856 0.03 False 56.1
3 sb02-02 6.051 18.349 0.011 False 56.1
4 sb02-03 6.725 15.549 0.031 False 56.1
5 sb02-04 3.924 17.04 0.027 False 56.1
6 sb02-05 2.502 15.916 0.037 False 56.1
7 sb02-06 4.687 14.665 0.058 False 56.1
8 sb01-01 11.863 15.431 0.05 False 56.1
9 sb01-02 11.123 11.329 0.046 False 56.1
10 sb01-03 9.648 12.26 0.05 False 56.1
11 sb01-04 6.657 10.627 0.034 False 56.1
12 sb01-05 7.955 9.148 0.037 False 56.1
13 sb01-06 9.624 10.144 0.06 False 56.1
14 sb01-07 10.698 7.364 0.04 False 56.1
15 sb01-08 11.434 9.481 0.061 False 56.1
16 sb03-04 -1.34 15.467 0.033 False 56.1
17 sb03-05 -2.186 17.006 0.03 False 56.1
18 sb03-06 -4.203 13.545 0.021 False 56.1
19 sb03-07 -1.292 13.675 0.02 False 56.1
20 sb03-08 -5.054 11.76 0.013 False 56.1
21 sb03-09 -2.496 11.972 0.023 False 56.1
22 sb03-10 0.102 12.397 0.013 False 56.1
23 sb03-11 1.818 14.33 0.022 False 56.1
24 sb02-07 3.433 13.103 0.036 False 56.1
25 sb02-08 5.001 12.18 0.041 False 56.1
26 sb02-09 6.762 12.615 0.051 False 56.1
27 sb02-10 8.164 14.39 0.05 False 56.1
28 sb02-11 10.615 14.051 0.053 False 56.1
29 sb03-01 1.764 17.945 0.06 False 56.1
30 sb03-02 0.661 16.438 0.059 False 56.1
31 sb03-03 -2.103 18.864 0.071 False 56.1
32 sb04-09 3.544 8.072 0.022 False 56.1
33 sb04-10 5.352 7.71 0.004 False 56.1
34 sb04-11 4.763 10.019 0.038 False 56.1
35 sb05-01 8.157 7.295 0.028 False 56.1
36 sb05-02 5.554 5.97 -0.002 False 56.1
37 sb05-03 3.623 5.873 -0.0 False 56.1
38 sb05-04 4.517 4.282 0.024 False 56.1
39 sb05-05 3.889 1.611 0.021 False 56.1
40 sb04-01 2.856 10.184 0.02 False 56.1
41 sb04-02 1.867 11.766 0.026 False 56.1
42 sb04-03 -1.028 10.783 0.024 False 56.1
43 sb04-04 0.109 9.259 0.014 False 56.1
44 sb04-05 -0.55 7.549 -0.017 False 56.1
45 sb04-06 -0.526 5.703 0.005 False 56.1
46 sb04-07 1.762 8.134 -0.025 False 56.1
47 sb04-08 1.638 5.153 -0.0 False 56.1
48 sb06-04 -10.729 15.747 0.035 False 56.1
49 sb06-05 -10.866 13.976 0.024 False 56.1
50 sb06-06 -7.508 14.525 0.025 False 56.1
51 sb06-07 -8.895 13.187 0.026 False 56.1
52 sb06-08 -8.135 10.437 -0.004 False 56.1
53 sb06-09 -6.386 10.323 0.011 False 56.1
54 sb06-10 -7.105 12.743 -0.005 False 56.1
55 sb06-11 -5.454 14.867 -0.001 False 56.1
56 sb05-06 5.622 1.012 0.037 False 56.1
57 sb05-07 6.522 3.614 0.011 False 56.1
58 sb05-08 7.454 5.195 -0.017 False 56.1
