idx name E N U flagged rotation
0 sb01-09 11.291 11.68 0.004 False 44.2
1 sb01-10 9.368 14.938 0.016 False 44.2
2 sb02-01 4.32 18.14 -0.016 False 44.2
3 sb02-02 2.133 19.153 0.01 False 44.2
4 sb02-03 3.369 16.604 0.014 False 44.2
5 sb02-04 0.329 17.488 0.003 False 44.2
6 sb02-05 -0.828 16.086 0.003 False 44.2
7 sb02-06 1.593 15.339 -0.023 False 44.2
8 sb01-01 8.449 17.523 0.009 False 44.2
9 sb01-02 8.578 13.411 0.002 False 44.2
10 sb01-03 6.905 13.989 0.005 False 44.2
11 sb01-04 4.358 11.795 0.018 False 44.2
12 sb01-05 5.926 10.603 0.015 False 44.2
13 sb01-06 7.318 11.91 0.01 False 44.2
14 sb01-07 8.945 9.481 0.007 False 44.2
15 sb01-08 9.239 11.652 -0.02 False 44.2
16 sb03-04 -4.489 14.851 -0.024 False 44.2
17 sb03-05 -5.701 16.175 0.004 False 44.2
18 sb03-06 -6.949 12.418 -0.047 False 44.2
19 sb03-07 -4.086 13.119 0.004 False 44.2
20 sb03-08 -7.384 10.468 0.011 False 44.2
21 sb03-09 -4.914 11.204 -0.012 False 44.2
22 sb03-10 -2.429 12.149 0.0 False 44.2
23 sb03-11 -1.162 14.394 0.002 False 44.2
24 sb02-07 0.66 13.524 -0.001 False 44.2
25 sb02-08 2.355 12.973 0.031 False 44.2
26 sb02-09 4.044 13.704 0.017 False 44.2
27 sb02-10 5.078 15.785 -0.028 False 44.2
28 sb02-11 7.48 15.947 -0.013 False 44.2
29 sb03-01 -1.977 17.925 0.022 False 44.2
30 sb03-02 -2.774 16.246 0.007 False 44.2
31 sb03-03 -5.948 18.021 -0.014 False 44.2
32 sb04-09 1.88 8.608 0.015 False 44.2
33 sb04-10 3.647 8.629 0.023 False 44.2
34 sb04-11 2.6 10.781 0.018 True 44.2
35 sb05-01 6.48 8.811 0.004 False 44.2
36 sb05-02 4.241 7.014 0.019 False 44.2
37 sb05-03 2.327 6.499 0.008 False 44.2
38 sb05-04 3.554 5.172 0.011 False 44.2
39 sb05-05 3.431 2.406 -0.008 False 44.2
40 sb04-01 0.732 10.578 0.004 False 44.2
41 sb04-02 -0.592 11.877 0.019 True 44.2
42 sb04-03 -3.205 10.362 0.005 False 44.2
43 sb04-04 -1.849 9.114 0.008 False 44.2
44 sb04-05 -2.132 7.296 0.012 False 44.2
45 sb04-06 -1.668 5.499 -0.018 False 44.2
46 sb04-07 0.089 8.28 0.004 False 44.2
47 sb04-08 0.534 5.37 -0.005 False 44.2
48 sb06-04 -13.748 13.192 -0.012 True 44.2
49 sb06-05 -13.513 11.503 -0.031 False 44.2
50 sb06-06 -10.353 12.663 -0.031 False 44.2
51 sb06-07 -11.424 11.058 -0.018 False 44.2
52 sb06-08 -10.12 8.52 0.001 False 44.2
53 sb06-09 -8.386 8.797 0.008 False 44.2
54 sb06-10 -9.585 11.01 -0.008 False 44.2
55 sb06-11 -8.395 13.421 -0.02 False 44.2
56 sb05-06 5.319 2.164 0.005 False 44.2
57 sb05-07 5.675 4.909 0.015 False 44.2
58 sb05-08 6.234 6.611 0.007 False 44.2
59 sb05-09 9.034 5.329 -0.015 False 44.2
60 sb05-10 8.032 6.803 0.003 False 44.2
61 sb06-01 -8.945 15.165 -0.032 False 44.2
62 sb06-02 -7.98 17.291 -0.054 False 44.2
63 sb06-03 -11.091 14.254 -0.02 False 44.2
64 sb07-09 -4.319 4.333 0.026 False 44.2
65 sb07-10 -2.453 3.889 -0.004 False 44.2
