idx name E N U flagged rotation
0 sb01-09 16.203 -0.917 -0.024 False 93.3
1 sb01-10 17.418 2.714 -0.006 False 93.3
2 sb02-01 16.562 8.586 0.021 False 93.3
3 sb02-02 15.906 10.895 0.003 False 93.3
4 sb02-03 14.749 8.307 -0.005 False 93.3
5 sb02-04 13.424 11.197 -0.009 False 93.3
6 sb02-05 11.615 11.154 -0.039 False 93.3
7 sb02-06 12.63 8.833 -0.006 False 93.3
8 sb01-01 18.754 5.088 -0.006 False 93.3
9 sb01-02 15.737 2.275 -0.001 False 93.3
10 sb01-03 15.093 3.966 -0.007 False 93.3
11 sb01-04 11.754 4.427 0.004 False 93.3
12 sb01-05 11.891 2.505 -0.022 False 93.3
13 sb01-06 13.786 2.235 -0.013 False 93.3
14 sb01-07 13.014 -0.576 -0.008 False 93.3
15 sb01-08 14.889 0.671 -0.037 False 93.3
16 sb03-04 8.275 13.119 0.012 False 93.3
17 sb03-05 8.488 14.851 -0.031 False 93.3
18 sb03-06 4.825 13.381 -0.004 False 93.3
19 sb03-07 7.242 11.672 -0.011 False 93.3
20 sb03-08 3.128 12.426 -0.02 False 93.3
21 sb03-09 5.241 11.041 0.002 False 93.3
22 sb03-10 7.57 9.791 -0.017 False 93.3
23 sb03-11 10.103 10.29 -0.003 False 93.3
24 sb02-07 10.689 8.349 0.001 False 93.3
25 sb02-08 11.33 6.697 0.009 False 93.3
26 sb02-09 12.996 5.933 0.007 False 93.3
27 sb02-10 15.244 6.518 -0.005 False 93.3
28 sb02-11 16.988 4.758 0.009 False 93.3
29 sb03-01 12.241 13.232 -0.018 False 93.3
30 sb03-02 10.465 12.731 -0.001 False 93.3
31 sb03-03 9.714 16.289 -0.008 False 93.3
32 sb04-09 7.689 4.222 -0.005 False 93.3
33 sb04-10 9.058 2.88 -0.022 False 93.3
34 sb04-11 9.85 5.095 -0.002 False 93.3
35 sb05-01 10.885 0.864 -0.028 False 93.3
36 sb05-02 8.01 1.397 0.004 False 93.3
37 sb05-03 6.472 2.486 0.017 False 93.3
38 sb05-04 6.224 0.696 -0.0 False 93.3
39 sb05-05 4.064 -1.028 -0.001 False 93.3
40 sb04-01 8.473 6.382 -0.0 False 93.3
41 sb04-02 8.591 8.223 -0.003 False 93.3
42 sb04-03 5.739 9.206 -0.0 False 93.3
43 sb04-04 5.67 7.357 0.006 False 93.3
44 sb04-05 4.119 6.348 -0.009 False 93.3
45 sb04-06 3.075 4.857 -0.011 False 93.3
46 sb04-07 6.299 5.404 0.011 False 93.3
47 sb04-08 4.407 3.166 0.008 False 93.3
48 sb06-04 0.959 19.026 -0.045 False 93.3
49 sb06-05 -0.173 17.695 -0.035 False 93.3
50 sb06-06 2.792 16.132 -0.015 False 93.3
51 sb06-07 0.87 15.885 -0.054 False 93.3
52 sb06-08 -0.201 13.237 -0.022 False 93.3
53 sb06-09 1.153 12.102 -0.003 False 93.3
54 sb06-10 2.032 14.444 -0.0 False 93.3
55 sb06-11 4.64 15.14 -0.02 False 93.3
56 sb05-06 5.126 -2.587 -0.022 False 93.3
57 sb05-07 7.367 -1.064 -0.016 False 93.3
58 sb05-08 9.07 -0.382 -0.022 False 93.3
59 sb05-09 9.936 -3.343 -0.026 False 93.3
60 sb05-10 10.395 -1.614 -0.02 False 93.3
61 sb06-01 5.586 16.677 -0.009 False 93.3
62 sb06-02 7.842 17.35 -0.004 False 93.3
63 sb06-03 3.494 17.721 -0.018 False 93.3
64 sb07-09 0.291 6.187 -0.008 False 93.3
65 sb07-10 1.333 4.42 -0.03 False 93.3
66 sb07-11 2.551 7.094 0.004 False 93.3
67 sb08-01 -2.13 14.256 -0.048 False 93.3
68 sb08-02 -1.564 16.288 -0.049 False 93.3
69 sb08-03 -2.893 17.415 -0.049 False 93.3
70 sb08-04 -4.535 16.87 -0.041 False 93.3
71 sb08-05 -6.462 17.282 -0.026 False 93.3
72 sb07-01 3.075 9.07 -0.009 False 93.3
73 sb07-02 2.432 10.713 0.021 False 93.3
74 sb07-03 1.016 8.201 -0.007 False 93.3
75 sb07-04 -0.403 10.484 0.007 False 93.3
76 sb07-05 -2.827 9.384 -0.001 False 93.3
77 sb07-06 -1.132 7.519 0.004 False 93.3
78 sb07-07 -2.308 6.199 -0.015 False 93.3
79 sb07-08 -0.834 3.335 -0.005 False 93.3
80 sb09-04 -6.972 9.472 0.001 False 93.3
81 sb09-05 -6.188 5.931 -0.018 False 93.3
82 sb09-06 -8.567 6.509 0.047 False 93.3
83 sb09-07 -8.828 4.718 0.01 False 93.3
84 sb09-08 -7.099 4.319 0.027 False 93.3
85 sb09-09 -4.743 4.327 0.008 False 93.3
86 sb09-10 -2.973 2.155 0.035 False 93.3
87 sb09-11 -2.386 4.283 0.004 False 93.3
88 sb08-06 -4.828 14.368 -0.056 False 93.3
89 sb08-07 -4.988 12.621 -0.058 False 93.3
90 sb08-08 -3.839 11.001 -0.042 False 93.3
91 sb08-09 -3.126 12.655 -0.027 False 93.3
92 sb08-10 -2.063 11.245 0.002 False 93.3
93 sb09-01 -4.341 6.11 -0.017 False 93.3
94 sb09-02 -3.377 7.671 -0.022 False 93.3
95 sb09-03 -4.654 8.995 -0.026 False 93.3
96 sb10-09 -9.223 8.21 0.016 False 93.3
97 sb10-10 -7.328 11.259 0.018 False 93.3
98 sb10-11 -5.657 10.758 -0.019 False 93.3
99 sb11-01 -11.68 8.016 -0.023 False 93.3
100 sb11-02 -11.566 9.818 -0.022 False 93.3
101 sb11-03 -14.002 8.506 -0.026 False 93.3
102 sb11-04 -15.223 10.73 0.016 False 93.3
103 sb11-05 -16.169 9.175 0.02 False 93.3
104 sb10-01 -6.632 13.049 0.04 False 93.3
105 sb10-02 -6.539 15.026 -0.027 False 93.3
106 sb10-03 -8.862 17.291 -0.064 False 93.3
107 sb10-04 -8.937 14.572 -0.037 False 93.3
108 sb10-05 -12.551 14.443 -0.039 False 93.3
109 sb10-06 -8.938 12.759 -0.003 False 93.3
110 sb10-07 -11.554 12.578 -0.013 False 93.3
111 sb10-08 -9.689 11.1 -0.001 False 93.3
112 sb12-04 -14.406 1.887 0.035 False 93.3
113 sb12-05 -15.003 5.305 0.034 False 93.3
114 sb12-06 -17.056 3.659 0.06 False 93.3
115 sb12-07 -17.266 1.809 0.04 False 93.3
116 sb12-08 -19.005 3.777 0.049 False 93.3
117 sb12-09 -18.782 -0.752 0.055 False 93.3
118 sb12-10 -16.724 -0.075 0.072 False 93.3
119 sb12-11 -11.207 -0.599 -0.009 False 93.3
120 sb11-06 -16.341 6.474 0.012 False 93.3
121 sb11-07 -18.005 5.418 0.004 False 93.3
122 sb11-08 -13.054 6.889 -0.005 False 93.3
123 sb11-09 -11.96 5.073 0.019 False 93.3
124 sb11-10 -10.305 5.864 0.015 False 93.3
125 sb12-01 -12.691 0.203 0.04 False 93.3
126 sb12-02 -12.696 2.612 0.051 False 93.3
127 sb12-03 -13.621 4.211 0.032 False 93.3
128 sb13-09 -15.117 -8.286 0.034 False 93.3
129 sb13-10 -13.379 -6.891 0.022 False 93.3
130 sb13-11 -11.561 -6.75 -0.013 False 93.3
131 sb14-01 -8.573 -10.542 -0.005 False 93.3
132 sb14-02 -11.3 -11.633 -0.008 False 93.3
133 sb14-03 -9.183 -8.854 -0.027 False 93.3
134 sb14-04 -11.066 -8.436 0.01 False 93.3
135 sb14-05 -13.293 -8.742 0.013 False 93.3
136 sb13-01 -10.81 -5.195 -0.003 False 93.3
137 sb13-02 -13.274 -3.549 0.017 False 93.3
138 sb13-03 -14.63 -1.661 0.034 False 93.3
139 sb13-04 -15.03 -3.433 0.003 False 93.3
140 sb13-05 -16.831 -1.872 0.052 False 93.3
141 sb13-06 -16.523 -5.004 0.017 False 93.3
142 sb13-07 -15.138 -6.134 0.032 False 93.3
143 sb13-08 -17.666 -8.191 0.061 False 93.3
144 sb15-03 -6.339 2.72 0.058 False 93.3
145 sb15-04 -8.187 1.875 0.012 False 93.3
146 sb15-05 -10.445 3.723 0.021 False 93.3
147 sb15-06 -11.016 1.644 0.008 False 93.3
148 sb15-07 -12.478 -1.976 -0.01 False 93.3
149 sb15-08 -9.917 -3.488 0.012 False 93.3
150 sb15-09 -9.765 -1.745 0.009 False 93.3
151 sb15-10 -5.953 -0.805 0.021 False 93.3
152 sb14-06 -12.267 -10.11 0.012 False 93.3
153 sb14-07 -14.927 -10.109 0.029 False 93.3
154 sb14-08 -13.386 -13.556 0.029 False 93.3
155 sb14-09 -11.611 -13.518 -0.024 False 93.3
156 sb14-10 -10.56 -14.99 -0.002 False 93.3
157 sb14-11 -9.505 -13.39 -0.04 False 93.3
158 sb15-01 -5.273 1.205 0.008 False 93.3
159 sb15-02 -8.093 0.166 -0.004 False 93.3
160 sb16-09 -6.94 -9.935 -0.041 False 93.3
161 sb16-10 -4.889 -8.197 -0.052 False 93.3
