idx name E N U flagged rotation
0 sb01-09 -11.352 11.599 0.01 False 315.8
1 sb01-10 -14.67 9.774 0.023 False 315.8
2 sb02-01 -18.012 4.868 0.032 False 315.8
3 sb02-02 -19.108 2.687 0.041 False 315.8
4 sb02-03 -16.469 3.852 0.037 False 315.8
5 sb02-04 -17.477 0.788 0.027 False 315.8
6 sb02-05 -16.152 -0.355 0.029 False 315.8
7 sb02-06 -15.29 1.999 0.041 False 315.8
8 sb01-01 -17.266 8.939 0.02 False 315.8
9 sb01-02 -13.103 8.933 0.021 False 315.8
10 sb01-03 -13.795 7.282 0.02 False 315.8
11 sb01-04 -11.677 4.665 0.049 False 315.8
12 sb01-05 -10.44 6.211 0.014 False 315.8
13 sb01-06 -11.696 7.645 0.034 False 315.8
14 sb01-07 -9.225 9.198 0.013 False 315.8
15 sb01-08 -11.39 9.547 0.015 False 315.8
16 sb03-04 -14.976 -4.1 0.01 False 315.8
17 sb03-05 -16.336 -5.205 0.007 False 315.8
18 sb03-06 -12.601 -6.616 0.003 False 315.8
19 sb03-07 -13.225 -3.733 0.02 False 315.8
20 sb03-08 -10.705 -7.069 0.015 False 315.8
21 sb03-09 -11.328 -4.606 0.0 False 315.8
22 sb03-10 -12.251 -2.096 0.039 False 315.8
23 sb03-11 -14.389 -0.736 0.037 False 315.8
24 sb02-07 -13.506 1.014 0.05 False 315.8
25 sb02-08 -12.902 2.699 0.053 False 315.8
26 sb02-09 -13.581 4.412 0.058 False 315.8
27 sb02-10 -15.628 5.5 0.034 False 315.8
28 sb02-11 -15.692 7.947 0.025 False 315.8
29 sb03-01 -17.974 -1.432 0.013 False 315.8
30 sb03-02 -16.294 -2.3 0.018 False 315.8
31 sb03-03 -18.147 -5.426 -0.007 False 315.8
32 sb04-09 -8.529 2.062 0.033 False 315.8
33 sb04-10 -8.571 3.905 0.046 False 315.8
34 sb04-11 -10.715 2.891 0.048 False 315.8
35 sb05-01 -8.631 6.719 0.033 False 315.8
36 sb05-02 -6.834 4.414 0.04 False 315.8
37 sb05-03 -6.469 2.528 0.014 False 315.8
38 sb05-04 -5.066 3.676 -0.002 False 315.8
39 sb05-05 -2.308 3.49 -0.028 False 315.8
40 sb04-01 -10.564 1.005 0.048 False 315.8
41 sb04-02 -11.896 -0.282 0.047 False 315.8
42 sb04-03 -10.488 -2.896 0.023 False 315.8
43 sb04-04 -9.156 -1.604 0.003 False 315.8
44 sb04-05 -7.348 -1.884 0.02 False 315.8
45 sb04-06 -5.509 -1.488 0.035 False 315.8
46 sb04-07 -8.315 0.322 0.033 False 315.8
47 sb04-08 -5.388 0.712 0.017 False 315.8
48 sb06-04 -13.531 -13.367 -0.06 False 315.8
49 sb06-05 -11.826 -13.171 -0.016 False 315.8
50 sb06-06 -12.981 -9.97 -0.012 False 315.8
51 sb06-07 -11.408 -11.097 -0.001 False 315.8
52 sb06-08 -8.867 -9.893 0.014 False 315.8
53 sb06-09 -9.014 -8.147 0.005 False 315.8
54 sb06-10 -11.262 -9.272 0.002 False 315.8
55 sb06-11 -13.647 -8.038 -0.013 False 315.8
56 sb05-06 -2.025 5.367 -0.048 False 315.8
57 sb05-07 -4.713 5.763 -0.008 False 315.8
58 sb05-08 -6.434 6.399 0.02 False 315.8
59 sb05-09 -5.083 9.172 -0.048 False 315.8
60 sb05-10 -6.544 8.236 -0.001 False 315.8
61 sb06-01 -15.399 -8.539 -0.02 False 315.8
62 sb06-02 -17.513 -7.525 -0.019 False 315.8
