idx name E N U flagged rotation
0 sb01-09 -16.079 2.384 -0.092 False 278.6
1 sb01-10 -17.58 -1.088 -0.11 False 278.6
2 sb02-01 -17.268 -7.016 -0.103 False 278.6
3 sb02-02 -16.825 -9.412 -0.1 False 278.6
4 sb02-03 -15.494 -6.935 -0.074 False 278.6
5 sb02-04 -14.416 -9.886 -0.084 False 278.6
6 sb02-05 -12.618 -10.055 -0.081 False 278.6
7 sb02-06 -13.367 -7.627 -0.036 False 278.6
8 sb01-01 -19.184 -3.328 -0.129 False 278.6
9 sb01-02 -15.865 -0.797 -0.072 False 278.6
10 sb01-03 -15.412 -2.522 -0.066 False 278.6
11 sb01-04 -12.099 -3.347 -0.028 False 278.6
12 sb01-05 -12.045 -1.384 -0.031 False 278.6
13 sb01-06 -13.961 -0.983 -0.069 False 278.6
14 sb01-07 -12.887 1.74 -0.081 False 278.6
15 sb01-08 -14.866 0.733 -0.071 False 278.6
16 sb03-04 -9.477 -12.323 -0.027 False 278.6
17 sb03-05 -9.827 -14.025 -0.009 False 278.6
18 sb03-06 -6.06 -12.851 0.01 False 278.6
19 sb03-07 -8.307 -10.976 -0.008 False 278.6
20 sb03-08 -4.224 -12.107 -0.002 False 278.6
21 sb03-09 -6.264 -10.48 -0.007 False 278.6
22 sb03-10 -8.472 -9.07 -0.025 False 278.6
23 sb03-11 -11.035 -9.347 -0.038 False 278.6
24 sb02-07 -11.394 -7.35 -0.038 False 278.6
25 sb02-08 -11.934 -5.649 -0.026 False 278.6
26 sb02-09 -13.515 -4.695 -0.043 False 278.6
27 sb02-10 -15.758 -5.066 -0.059 False 278.6
28 sb02-11 -17.338 -3.199 -0.094 False 278.6
29 sb03-01 -13.387 -12.043 -0.072 False 278.6
30 sb03-02 -11.613 -11.692 -0.051 False 278.6
31 sb03-03 -11.153 -15.298 -0.003 False 278.6
32 sb04-09 -8.065 -3.518 -0.01 False 278.6
33 sb04-10 -9.158 -2.017 -0.037 False 278.6
34 sb04-11 -10.299 -4.186 -0.017 False 278.6
35 sb05-01 -10.909 0.119 -0.065 False 278.6
36 sb05-02 -8.146 -0.665 -0.02 False 278.6
37 sb05-03 -6.664 -1.898 0.006 False 278.6
38 sb05-04 -6.243 -0.137 -0.022 False 278.6
39 sb05-05 -3.921 1.431 -0.014 False 278.6
40 sb04-01 -9.002 -5.59 -0.018 False 278.6
41 sb04-02 -9.319 -7.408 0.012 False 278.6
42 sb04-03 -6.575 -8.654 -0.002 False 278.6
43 sb04-04 -6.346 -6.826 -0.003 False 278.6
44 sb04-05 -4.707 -5.957 -0.005 False 278.6
45 sb04-06 -3.479 -4.562 0.003 False 278.6
46 sb04-07 -6.788 -4.764 -0.016 False 278.6
47 sb04-08 -4.657 -2.712 -0.006 False 278.6
48 sb06-04 -2.725 -18.863 0.001 False 278.6
49 sb06-05 -1.477 -17.64 0.002 False 278.6
50 sb06-06 -4.28 -15.803 0.009 False 278.6
51 sb06-07 -2.343 -15.731 -0.005 False 278.6
52 sb06-08 -1.059 -13.191 -0.005 False 278.6
53 sb06-09 -2.22 -11.951 -0.005 False 278.6
54 sb06-10 -3.383 -14.201 -0.009 False 278.6
55 sb06-11 -6.036 -14.675 0.006 False 278.6
56 sb05-06 -4.834 3.059 -0.008 False 278.6
57 sb05-07 -7.271 1.742 -0.032 False 278.6
58 sb05-08 -8.972 1.204 -0.022 False 278.6
59 sb05-09 -9.573 4.233 -0.022 False 278.6
60 sb05-10 -10.196 2.548 -0.01 False 278.6
61 sb06-01 -7.109 -16.073 -0.021 False 278.6
62 sb06-02 -9.42 -16.576 0.004 False 278.6
63 sb06-03 -5.124 -17.295 0.001 False 278.6
64 sb07-09 -0.876 -6.119 -0.031 False 278.6
65 sb07-10 -1.769 -4.321 0.007 False 278.6
66 sb07-11 -3.16 -6.831 -0.005 False 278.6
67 sb08-01 0.83 -14.397 0.001 False 278.6
68 sb08-02 0.034 -16.359 -0.023 False 278.6
69 sb08-03 1.253 -17.598 -0.004 False 278.6
70 sb08-04 2.986 -17.207 0.0 False 278.6
71 sb08-05 4.822 -17.794 0.018 False 278.6
72 sb07-01 -3.88 -8.774 0.013 False 278.6
73 sb07-02 -3.418 -10.456 -0.008 False 278.6
74 sb07-03 -1.786 -8.06 -0.015 False 278.6
75 sb07-04 -0.545 -10.535 -0.016 False 278.6
76 sb07-05 1.927 -9.589 -0.007 False 278.6
77 sb07-06 0.418 -7.646 -0.009 False 278.6
