idx name E N U flagged rotation
0 sb01-09 -10.131 -12.673 -0.006 False 218.9
1 sb01-10 -7.942 -15.718 0.032 False 218.9
2 sb02-01 -2.637 -18.458 0.065 False 218.9
3 sb02-02 -0.348 -19.291 0.08 False 218.9
4 sb02-03 -1.826 -16.806 0.076 False 218.9
5 sb02-04 1.273 -17.445 0.094 False 218.9
6 sb02-05 2.326 -15.982 0.061 False 218.9
7 sb02-06 -0.158 -15.396 0.092 False 218.9
8 sb01-01 -6.785 -18.264 0.025 False 218.9
9 sb01-02 -7.279 -14.077 0.049 False 218.9
10 sb01-03 -5.551 -14.571 0.057 False 218.9
11 sb01-04 -3.238 -12.121 0.059 False 218.9
12 sb01-05 -4.882 -11.121 0.041 False 218.9
13 sb01-06 -6.195 -12.511 0.057 False 218.9
14 sb01-07 -8.036 -10.244 0.023 False 218.9
15 sb01-08 -8.128 -12.494 0.041 False 218.9
16 sb03-04 5.847 -14.406 0.077 False 218.9
17 sb03-05 7.152 -15.581 0.092 False 218.9
18 sb03-06 8.026 -11.705 0.092 False 218.9
19 sb03-07 5.308 -12.671 0.074 False 218.9
20 sb03-08 8.27 -9.723 0.063 False 218.9
21 sb03-09 5.949 -10.685 0.059 False 218.9
22 sb03-10 3.563 -11.9 0.068 False 218.9
23 sb03-11 2.496 -14.193 0.081 False 218.9
24 sb02-07 0.569 -13.537 0.096 False 218.9
25 sb02-08 -1.141 -13.099 0.083 False 218.9
26 sb02-09 -2.745 -14.055 0.071 False 218.9
27 sb02-10 -3.56 -16.172 0.056 False 218.9
28 sb02-11 -5.971 -16.548 0.043 False 218.9
29 sb03-01 3.607 -17.663 0.088 False 218.9
30 sb03-02 4.245 -15.926 0.08 False 218.9
31 sb03-03 7.596 -17.352 0.083 False 218.9
32 sb04-09 -1.05 -8.749 0.065 False 218.9
33 sb04-10 -2.831 -8.983 0.016 False 218.9
34 sb04-11 -1.624 -10.98 0.057 False 218.9
35 sb05-01 -5.641 -9.349 0.018 False 218.9
36 sb05-02 -3.576 -7.353 0.021 False 218.9
37 sb05-03 -1.732 -6.718 0.034 False 218.9
38 sb05-04 -3.077 -5.433 0.026 False 218.9
39 sb05-05 -3.263 -2.72 0.014 False 218.9
40 sb04-01 0.259 -10.563 0.091 False 218.9
41 sb04-02 1.693 -11.746 0.073 False 218.9
42 sb04-03 4.173 -10.013 0.055 False 218.9
43 sb04-04 2.703 -8.884 0.046 False 218.9
44 sb04-05 2.757 -7.06 0.022 False 218.9
45 sb04-06 2.19 -5.289 0.058 False 218.9
46 sb04-07 0.687 -8.272 0.079 False 218.9
47 sb04-08 -0.017 -5.393 0.037 False 218.9
48 sb06-04 14.882 -11.853 0.101 False 218.9
49 sb06-05 14.499 -10.193 0.115 False 218.9
50 sb06-06 11.472 -11.674 0.141 False 218.9
51 sb06-07 12.371 -9.945 0.153 False 218.9
52 sb06-08 10.845 -7.559 0.096 False 218.9
53 sb06-09 9.173 -7.919 0.12 False 218.9
54 sb06-10 10.552 -10.089 0.12 False 218.9
55 sb06-11 9.602 -12.535 0.08 False 218.9
56 sb05-06 -5.087 -2.673 -0.01 False 218.9
57 sb05-07 -5.143 -5.381 0.004 False 218.9
58 sb05-08 -5.604 -7.14 0.014 False 218.9
59 sb05-09 -8.481 -6.162 -0.009 False 218.9
60 sb05-10 -7.366 -7.497 0.009 False 218.9
61 sb06-01 10.279 -14.251 0.153 False 218.9
62 sb06-02 9.562 -16.505 0.142 False 218.9
63 sb06-03 12.373 -13.179 0.137 False 218.9
64 sb07-09 4.829 -3.837 -0.011 False 218.9
