idx name E N U flagged rotation
0 sb01-09 -3.772 -15.808 -0.033 False 193.6
1 sb01-10 -0.458 -17.604 -0.06 False 193.6
2 sb02-01 5.519 -17.833 -0.098 False 193.6
3 sb02-02 7.946 -17.599 -0.066 False 193.6
4 sb02-03 5.55 -16.023 -0.086 False 193.6
5 sb02-04 8.591 -15.179 -0.062 False 193.6
6 sb02-05 8.904 -13.497 -0.039 True 193.6
7 sb02-06 6.417 -13.976 -0.05 False 193.6
8 sb01-01 1.628 -19.392 -0.08 False 193.6
9 sb01-02 -0.543 -15.888 -0.059 False 193.6
10 sb01-03 1.179 -15.566 -0.041 False 193.6
11 sb01-04 2.288 -12.346 -0.033 False 193.6
12 sb01-05 0.329 -12.124 -0.026 False 193.6
13 sb01-06 -0.232 -13.999 -0.042 False 193.6
14 sb01-07 -2.85 -12.675 -0.04 False 193.6
15 sb01-08 -2.013 -14.743 -0.032 False 193.6
16 sb03-04 11.428 -10.523 -0.032 False 193.6
17 sb03-05 13.109 -11.026 -0.02 False 193.6
18 sb03-06 12.258 -7.156 0.041 False 193.6
19 sb03-07 10.216 -9.19 -0.032 False 193.6
20 sb03-08 11.687 -5.275 0.08 False 193.6
21 sb03-09 9.945 -7.11 -0.004 False 193.6
22 sb03-10 8.302 -9.227 -0.022 False 193.6
23 sb03-11 8.351 -11.769 -0.035 False 193.6
24 sb02-07 6.328 -11.996 -0.041 False 193.6
25 sb02-08 4.536 -12.371 -0.038 False 193.6
26 sb02-09 3.497 -13.873 -0.049 False 193.6
27 sb02-10 3.671 -16.135 -0.078 False 193.6
28 sb02-11 1.681 -17.544 -0.074 False 193.6
29 sb03-01 10.801 -14.383 -0.062 False 193.6
30 sb03-02 10.627 -12.586 -0.061 False 193.6
31 sb03-03 14.263 -12.439 -0.02 False 193.6
32 sb04-09 2.793 -8.343 -0.012 False 193.6
33 sb04-10 1.205 -9.356 -0.019 False 193.6
34 sb04-11 3.267 -10.625 -0.017 False 193.6
35 sb05-01 -1.128 -10.895 -0.027 False 193.6
36 sb05-02 -0.095 -8.162 -0.019 False 193.6
37 sb05-03 1.311 -6.809 -0.021 False 193.6
38 sb05-04 -0.457 -6.218 -0.005 False 193.6
39 sb05-05 -1.766 -3.839 -0.028 False 193.6
40 sb04-01 4.788 -9.459 -0.021 False 193.6
41 sb04-02 6.538 -9.884 -0.031 False 193.6
42 sb04-03 8.057 -7.279 -0.026 False 193.6
43 sb04-04 6.244 -6.875 -0.028 False 193.6
44 sb04-05 5.515 -5.205 -0.047 False 193.6
45 sb04-06 4.214 -3.856 -0.008 False 193.6
46 sb04-07 4.16 -7.184 -0.035 False 193.6
47 sb04-08 2.302 -4.888 -0.017 False 193.6
48 sb06-04 18.532 -4.316 0.06 False 193.6
49 sb06-05 17.469 -2.973 0.07 False 193.6
50 sb06-06 15.368 -5.64 0.048 False 193.6
51 sb06-07 15.485 -3.721 0.056 False 193.6
52 sb06-08 13.063 -2.202 0.044 False 193.6
53 sb06-09 11.677 -3.257 0.041 False 193.6
54 sb06-10 13.851 -4.617 0.045 False 193.6
55 sb06-11 14.13 -7.298 0.038 False 193.6
56 sb05-06 -3.448 -4.553 -0.055 False 193.6
57 sb05-07 -2.361 -7.089 -0.024 False 193.6
58 sb05-08 -1.984 -8.883 -0.022 False 193.6
59 sb05-09 -5.038 -9.171 -0.008 False 193.6
60 sb05-10 -3.476 -9.961 -0.03 False 193.6
61 sb06-01 15.429 -8.502 0.049 False 193.6
62 sb06-02 15.695 -10.784 0.042 False 193.6
63 sb06-03 16.826 -6.628 0.051 False 193.6
64 sb07-09 5.979 -1.443 -0.034 False 193.6
65 sb07-10 4.119 -2.131 -0.042 False 193.6
