idx name E N U flagged rotation
0 sb01-09 0.54 -16.245 -0.005 False 178.3
1 sb01-10 4.157 -17.129 0.029 False 178.3
2 sb02-01 9.993 -15.756 -0.013 False 178.3
3 sb02-02 12.272 -14.9 0.016 False 178.3
4 sb02-03 9.541 -13.977 0.009 False 178.3
5 sb02-04 12.317 -12.397 0.012 False 178.3
6 sb02-05 12.118 -10.649 0.005 False 178.3
7 sb02-06 9.898 -11.82 0.027 False 178.3
8 sb01-01 6.702 -18.26 -0.02 False 178.3
9 sb01-02 3.647 -15.44 -0.01 False 178.3
10 sb01-03 5.262 -14.693 -0.003 False 178.3
11 sb01-04 5.484 -11.329 0.003 False 178.3
12 sb01-05 3.529 -11.585 -0.018 False 178.3
13 sb01-06 3.429 -13.533 -0.021 False 178.3
14 sb01-07 0.555 -12.989 0.019 False 178.3
15 sb01-08 1.973 -14.779 0.024 False 178.3
16 sb03-04 13.782 -7.107 0.003 False 178.3
17 sb03-05 15.578 -7.158 -0.02 False 178.3
18 sb03-06 13.737 -3.649 -0.018 False 178.3
19 sb03-07 12.289 -6.176 0.007 False 178.3
20 sb03-08 12.627 -2.026 0.004 False 178.3
21 sb03-09 11.442 -4.268 -0.027 False 178.3
22 sb03-10 10.456 -6.689 0.01 False 178.3
23 sb03-11 11.125 -9.173 -0.0 False 178.3
24 sb02-07 9.25 -9.87 0.024 False 178.3
25 sb02-08 7.669 -10.712 0.011 False 178.3
26 sb02-09 7.035 -12.483 0.027 False 178.3
27 sb02-10 7.821 -14.618 0.02 False 178.3
28 sb02-11 6.262 -16.475 -0.008 False 178.3
29 sb03-01 14.232 -11.06 -0.027 False 178.3
30 sb03-02 13.589 -9.312 0.002 False 178.3
31 sb03-03 17.021 -8.263 0.003 False 178.3
32 sb04-09 4.908 -7.325 0.035 False 178.3
33 sb04-10 3.651 -8.672 0.024 False 178.3
34 sb04-11 5.921 -9.364 0.004 False 178.3
35 sb05-01 1.807 -10.767 0.026 False 178.3
36 sb05-02 2.071 -7.858 0.039 False 178.3
37 sb05-03 3.065 -6.191 0.027 False 178.3
38 sb05-04 1.22 -6.117 0.032 False 178.3
39 sb05-05 -0.701 -4.11 0.042 False 178.3
40 sb04-01 7.084 -7.886 0.006 False 178.3
41 sb04-02 8.947 -7.831 0.021 False 178.3
42 sb04-03 9.654 -4.916 0.034 False 178.3
43 sb04-04 7.808 -5.007 0.013 False 178.3
44 sb04-05 6.716 -3.58 0.021 False 178.3
45 sb04-06 5.086 -2.574 0.033 False 178.3
46 sb04-07 5.921 -5.85 0.026 False 178.3
47 sb04-08 3.527 -4.123 0.037 False 178.3
48 sb06-04 19.049 0.703 0.002 False 178.3
49 sb06-05 17.656 1.715 0.007 False 178.3
50 sb06-06 16.34 -1.375 0.004 False 178.3
51 sb06-07 15.907 0.469 0.008 False 178.3
52 sb06-08 13.161 1.295 0.018 False 178.3
53 sb06-09 12.136 -0.088 0.014 False 178.3
54 sb06-10 14.619 -0.818 0.012 False 178.3
55 sb06-11 15.472 -3.299 -0.002 False 178.3
56 sb05-06 -2.121 -5.308 0.032 False 178.3
57 sb05-07 -0.4 -7.468 0.038 False 178.3
58 sb05-08 0.381 -9.043 0.031 False 178.3
59 sb05-09 -2.437 -10.172 0.04 False 178.3
60 sb05-10 -0.715 -10.469 0.03 False 178.3
61 sb06-01 17.15 -4.117 0.015 False 178.3
62 sb06-02 17.964 -6.297 0.009 False 178.3
63 sb06-03 17.949 -1.936 -0.002 False 178.3
64 sb07-09 6.159 0.198 0.008 False 178.3
65 sb07-10 4.539 -0.981 0.022 False 178.3
66 sb07-11 7.328 -1.915 0.024 False 178.3
67 sb08-01 13.994 3.379 0.028 False 178.3
68 sb08-02 16.13 2.975 0.025 False 178.3
69 sb08-03 17.08 4.404 0.018 False 178.3
70 sb08-04 16.399 5.996 0.004 False 178.3
71 sb08-05 16.681 7.906 0.011 False 178.3
72 sb07-01 9.349 -2.279 0.035 False 178.3
73 sb07-02 10.876 -1.465 0.014 False 178.3
74 sb07-03 8.238 -0.338 0.024 False 178.3
75 sb07-04 10.448 1.32 0.003 False 178.3
76 sb07-05 9.07 3.639 0.01 False 178.3
77 sb07-06 7.434 1.734 0.013 False 178.3
78 sb07-07 5.939 2.861 0.019 False 178.3
79 sb07-08 3.235 1.07 0.017 False 178.3
80 sb09-04 8.861 7.78 -0.002 False 178.3
81 sb09-05 5.32 6.789 -0.005 False 178.3
82 sb09-06 5.717 9.112 -0.006 False 178.3
83 sb09-07 3.908 9.21 -0.012 False 178.3
84 sb09-08 3.692 7.393 -0.005 False 178.3
85 sb09-09 3.917 5.052 -0.007 False 178.3
86 sb09-10 1.917 3.152 -0.005 False 178.3
87 sb09-11 4.084 2.745 0.011 False 178.3
88 sb08-06 13.929 6.067 -0.019 False 178.3
89 sb08-07 12.118 6.079 0.01 False 178.3
90 sb08-08 10.604 4.734 0.007 False 178.3
91 sb08-09 12.354 4.231 0.025 False 178.3
